county_month,indicator1_all_total_children,indicator1_all_boys,indicator1_all_girls,indicator1_host_community_total_children,indicator1_host_community_boys,indicator1_host_community_girls,indicator1_idps_total_children,indicator1_idps_boys,indicator1_idps_girls,indicator1_refugees_total_children,indicator1_refugees_boys,indicator1_refugees_girls,indicator1_cwd_total_children,indicator1_cwd_boys,indicator1_cwd_girls,indicator1_narrative,x1,indicator2_all_total_children,indicator2_all_boys,indicator2_all_girls,indicator2_host_community_total_children,indicator2_host_community_boys,indicator2_host_community_girls,indicator2_idps_total_children,indicator2_idps_boys,indicator2_idps_girls,indicator2_refugees_total_children,indicator2_refugees_boys,indicator2_refugees_girls,indicator2_cwd_total_children,indicator2_cwd_boys,indicator2_cwd_girls,indicator2_new_latrines,indicator2_rehabiltated_latrines,indicator2_new_classrooms,indicator2_rehabilitated_classrooms,indicator2_narrative,x2,indicator3_all_total_children,indicator3_all_boys,indicator3_all_girls,indicator3_host_community_total_children,indicator3_host_community_boys,indicator3_host_community_girls,indicator3_idps_total_children,indicator3_idps_boys,indicator3_idps_girls,indicator3_refugees_total_children,indicator3_refugees_boys,indicator3_refugees_girls,indicator3_cwd_total_children,indicator3_cwd_boys,indicator3_cwd_girls,indicator3_narrative,x3,indicator4_all_total_adults,indicator4_all_male,indicator4_all_female,indicator4_host_community_total_adults,indicator4_host_community_male,indicator4_host_community_female,indicator4_idps_total_adults,indicator4_idps_male,indicator4_idps_female,indicator4_refugees_total_adults,indicator4_refugees_male,indicator4_refugees_female,indicator4_narrative,x4,indicator5_all_total_adults,indicator5_all_male,indicator5_all_female,indicator5_host_community_total_adults,indicator5_host_community_male,indicator5_host_community_female,indicator5_idps_total_adults,indicator5_idps_male,indicator5_idps_female,indicator5_refugees_total_adults,indicator5_refugees_male,indicator5_refugees_female,indicator5_narrative,x5,indicator6_all_total_adults,indicator6_all_male,indicator6_all_female,indicator6_narrative,x6,indicator7_all_total_children,indicator7_all_boys,indicator7_all_girls,indicator7_host_community_total_children,indicator7_host_community_boys,indicator7_host_community_girls,indicator7_idps_total_children,indicator7_idps_boys,indicator7_idps_girls,indicator7_refugees_total_children,indicator7_refugees_boys,indicator7_refugees_girls,indicator7_cwd_total_children,indicator7_cwd_boys,indicator7_cwd_girls,indicator7_narrative
Marsabit March,1600,1003,597,1600,1003,597,0,0,0,0,0,0,0,0,0,one enrolment campaing by FCA with support from UNICEF bringing back 1600 OOSC children back to school,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,55,40,15,55,40,15,0,0,0,0,0,0,"A total of 55 school BOM were trained on school managemnet, enrolment , retnetion mobolblization and accountability",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Marsabit April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Marsabit May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,14290,7311,6979,14290,7311,6979,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finn Church Aid in Marsabit  with support from UNICEF supported 37 schools with 115 handwashing kits benefiting 14,290 (7,311boys, 6,979 girls) learners.",,19720,9431,10289,19720,9431,10289,0,0,0,0,0,0,0,0,0,"FCA  with support from UNICEF distributed teaching and learning materials to 60 Primary schools benefiting 19,720 (9,431boys, 10,289 girls) learners",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Marsabit June,441,210,231,441,210,231,0,0,0,0,0,0,0,0,0,"Finn Church Aid (FCA) with support from UNICEF carried out back to school campaing in Marsabit county bringing back to school a total of 441 (210 boys, 231 girls) OOSC",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,288,134,154,288,134,154,0,0,0,0,0,0,0,0,0,"288 (134 boys, 154 girls) learners were sensitized on child protection, child rights, gender norms, GBV and  PSEA"
Marsabit July,123,73,50,123,73,50,0,0,0,0,0,0,0,0,0,"Finn Church Aid (FCA) with support from UNICEF carried out back to school campaing in Marsabit county bringing back to school a total of 123 73boys, 50 girls) OOSC",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,186,162,24,186,162,24,0,0,0,0,0,0,"CDE Marsabit trianed 186 (162M, 24F) teachers on inclusive Education to improve the inclusion of Children living with disability in the education system",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Meru Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Meru January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Meru February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Meru March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Meru April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Meru May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Meru June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Meru July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Migori Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Migori January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Migori February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Migori March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Migori April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Migori May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Migori June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Migori July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Nairobi Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Nairobi January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Nairobi February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Nairobi March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Nairobi April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Nairobi May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Nairobi June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Nairobi July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Narok Total,3417,1900,1517,3417,1900,1517,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,115,83,32,115,83,32,0,0,0,0,0,0,NA,,0,0,0,NA,,378,100,278,378,100,278,0,0,0,0,0,0,0,0,0,NA
Narok January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Narok February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Narok March,813,487,326,813,487,326,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,115,83,32,115,83,32,0,0,0,0,0,0,"NA",,0,0,0,"NA",,378,100,278,378,100,278,0,0,0,0,0,0,0,0,0,"NA"
Narok April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Narok May,200,102,98,200,102,98,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Narok June,2404,1311,1093,2404,1311,1093,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Narok July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Nyeri Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Nyeri January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Nyeri February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Nyeri March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Nyeri April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Nyeri May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Nyeri June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Nyeri July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Samburu Total,4621,2554,2067,4621,2554,2067,0,0,0,0,0,0,275,155,120,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,50,40,10,50,40,10,0,0,0,0,0,0,NA,,232,126,106,NA,,982,351,631,982,351,631,0,0,0,0,0,0,0,0,0,NA
Samburu January,87,51,36,87,51,36,0,0,0,0,0,0,0,0,0,"50 Primary school in Samburu County have been supported in carrying out enrolment drive campaigns towards bring back OOSC. EDCs have been supported to develop messaging to be used during their back-to-school campaigns. They were also facilitated to carry out door to door campaigns for 5 days on re-enrolment of OOSC at the village level.
Enrollment Drive Committees (EDCs) in 13 primary schools within Samburu County have been sensitized and supported to carry out mapping for OOSC at school level. The ECDs were also sensitized on their roles towards bringing OOSC back to school. 38 male, 12 female participated.",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Samburu February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Samburu March,1059,582,477,1059,582,477,0,0,0,0,0,0,24,14,10,"To promote improved enrolment and retention of OOSC leaners, enrolment drive campaigns at school level was conducted.",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,229,0,229,229,0,229,0,0,0,0,0,0,0,0,0,Mentorship activities were done in 3 secondary schools.
Samburu April,921,520,401,921,520,401,0,0,0,0,0,0,251,141,110,Enrolment drive campaigns at school level towards improved re-enrolment of OOSC.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,19,12,7,19,12,7,0,0,0,0,0,0,"NA",,84,60,24,"Teachers and Headteachers have been trained on UNICEF online data collection system (DAA Platform), mentorship; alumni associations have been established in the target schools to support mentorship in schools in addition to inputting data",,753,351,402,753,351,402,0,0,0,0,0,0,0,0,0,"Children have been trained on mental health, psychosocial Support and hygiene promotion leading to improved access to child protection and PSS."
Samburu May,294,167,127,294,167,127,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Samburu June,1354,708,646,1354,708,646,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,148,66,82,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Samburu July,906,526,380,906,526,380,0,0,0,0,0,0,0,0,0,Enrolment drive campaigns at school level towards improved enrolment of OOSC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,"NA",,31,28,3,31,28,3,0,0,0,0,0,0,BoM training,,0,0,0,"NA",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA"
Siaya Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,NA,,0,0,0,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
