month,county,indicator1_all_total,indicator1_all_boys,indicator1_all_girls,indicator1_host_community_total,indicator1_host_community_boys,indicator1_host_community_girls,indicator5_all_total,indicator5_all_male,indicator5_all_female,indicator5_host_community_total,indicator5_host_community_male,indicator5_host_community_female,indicator4_all_total,indicator4_all_male,indicator4_all_female,indicator4_host_community_total,indicator4_host_community_male,indicator4_host_community_female,indicator7_beneficiary_type_total,indicator7_all_boys,indicator7_all_girls,indicator7_host_community_total,indicator7_host_community_boys,indicator7_host_community_girls,indicator3_all_total,indicator3_all_boys,indicator3_all_girls,indicator3_host_community_total,indicator3_host_community_boys,indicator3_host_community_girls,indicator2_all_total,indicator2_all_boys,indicator2_all_girls,indicator2_host_community_total,indicator2_host_community_boys,indicator2_host_community_girls,indicator2_rehabiltated_latrines,indicator1_cwd_total,indicator1_cwd_boys,indicator1_cwd_girls,indicator6_all_total,indicator6_all_male,indicator6_all_female,indicator1_refugees_total,indicator1_refugees_boys,indicator1_refugees_girls,indicator3_refugees_total,indicator3_refugees_boys,indicator3_refugees_girls,indicator3_cwd_total,indicator3_cwd_boys,indicator3_cwd_girls,indicator4_refugees_total,indicator4_refugees_male,indicator4_refugees_female,indicator5_refugees_total,indicator5_refugees_male,indicator5_refugees_female,indicator7_refugees_total,indicator7_refugees_girls,indicator7_refugees_boys
March, Kwale,442,200,242,442,200,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1200,800,2000,1200,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May, Kwale,359,200,159,359,200,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March, Mandera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,139,11,150,139,11,NA,NA,NA,NA,NA,NA,600,360,240,600,360,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January, Marsabit,500,271,229,500,271,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2548,1303,1245,2548,1303,1245,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February, Marsabit,1000,646,354,1000,646,354,93,83,10,NA,83,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March, Marsabit,1600,1003,597,1600,1003,597,55,40,15,55,40,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May, Marsabit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19720,9431,10289,19720,9431,10289,14290,7311,6979,14290,7311,6979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March, Narok,813,487,326,813,487,326,115,83,32,115,83,32,NA,NA,NA,NA,NA,NA,378,100,278,378,100,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May, Narok,200,102,98,200,102,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January, Samburu,87,51,36,87,51,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March, Samburu,1059,582,477,1059,582,477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,NA,229,229,NA,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,14,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April, Samburu,921,520,401,921,520,401,19,12,7,19,12,7,NA,NA,NA,NA,NA,NA,753,351,402,753,351,402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,141,110,84,60,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May, Samburu,294,167,127,NA,167,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June, Samburu,1354,708,646,NA,708,646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,66,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February, Tana River,4175,1620,2555,4175,1620,2555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May, Tana River,557,225,332,NA,225,332,1318,483,835,1318,483,835,NA,NA,NA,NA,NA,NA,3769,1320,2449,3769,1320,2449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,Turkana,2342,1364,978,2342,1364,978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,Turkana,1590,884,706,179,103,76,303,232,71,8,3,5,150,119,31,28,18,10,105,NA,105,NA,NA,NA,20496,11287,9209,390,209,181,NA,NA,NA,NA,NA,NA,NA,95,35,60,NA,NA,NA,1411,781,630,20106,11078,9028,770,457,313,122,101,21,295,229,66,105,105,NA
March,Turkana,4236,2337,1899,4236,2337,1899,NA,NA,NA,NA,NA,NA,570,345,225,NA,299,219,27653,17722,9931,2827,1492,1335,49281,29669,19612,3598,1983,1615,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,45683,27686,17997,NA,NA,NA,52,46,6,NA,NA,NA,24826,8596,16230
April,Turkana,5774,2955,2819,5750,2940,2810,47,44,3,47,44,3,265,55,210,46,10,36,1470,734,736,1470,734,736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,220,280,NA,NA,NA,24,15,9,NA,NA,NA,NA,NA,NA,219,45,174,NA,NA,NA,NA,NA,NA
May,Turkana,857,450,407,NA,450,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,Turkana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720,400,320,720,400,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March, Wajir,361,208,153,361,208,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May, Wajir,326,210,116,NA,210,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,114,76,190,114,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January, West Pokot,280,149,131,280,149,131,NA,NA,NA,NA,NA,NA,29,10,19,29,10,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March, West Pokot,1769,901,868,1769,901,868,45,37,8,45,37,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April, West Pokot,2875,1470,1405,NA,1470,1405,NA,NA,NA,NA,NA,NA,29,10,19,29,10,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,110,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May, West Pokot,44,28,16,NA,28,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June, West Pokot,1223,559,664,NA,559,664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
