county,indicator_short,April,May,August,July,January,March,February,September,December,June,November,October,county_target
Tharaka-Nithi,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Tharaka-Nithi,5. Educators resilience enhancing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Tharaka-Nithi,6. Children resilience enhancing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
West Pokot,2. Feeding programmes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
West Pokot,2. Feeding programmes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51693
West Pokot,3. Teaching materials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20018
West Pokot,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
West Pokot,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51693
Kwale,2. Feeding programmes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132
Kwale,2. Feeding programmes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55580
Kwale,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132
Kwale,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55580
Narok,2. Feeding programmes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328
Narok,2. Feeding programmes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113680
Kilifi,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Kilifi,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Lamu,1. Access ECD spaces/schools,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Lamu,2. Feeding programmes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Lamu,2. Feeding programmes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Lamu,5. Educators resilience enhancing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Lamu,6. Children resilience enhancing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Nyeri,1. Access ECD spaces/schools,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Nyeri,2. Feeding programmes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Nyeri,2. Feeding programmes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Nyeri,3. Teaching materials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Nyeri,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Nyeri,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Nyeri,5. Educators resilience enhancing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Nyeri,6. Children resilience enhancing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Kajiado,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Kajiado,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Embu,1. Access ECD spaces/schools,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Embu,2. Feeding programmes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Embu,2. Feeding programmes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Embu,3. Teaching materials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Embu,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Embu,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Embu,5. Educators resilience enhancing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Embu,6. Children resilience enhancing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Taita Taveta,1. Access ECD spaces/schools,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Taita Taveta,2. Feeding programmes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Taita Taveta,2. Feeding programmes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Taita Taveta,3. Teaching materials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Taita Taveta,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Taita Taveta,"4. Safe water, personal hygiene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Taita Taveta,6. Children resilience enhancing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
